variable,n_units,mean_jaccard_similarity,median_jaccard_similarity,min_jaccard_similarity,max_jaccard_similarity
People in the Image/Video,20,0.6658078652812207,0.574488676966796,0.08333333333333334,1
Names of Actors,20,0.7833333333333333,1,0.16666666666666666,1
Theme of the Image/Video,20,0.5475232965993415,0.46111111111111114,0.05555555555555555,1
Actors,20,0.6723006698639837,0.6593567251461988,0.07407407407407407,1
Type of Attack,20,0.7368055555555556,0.8541666666666667,0.16666666666666666,1
Target of Attack,20,0.8130258375811782,1,0.3787878787878788,1
Type of Acclaim,20,0.7395833333333334,1,0.16666666666666666,1
Target of Acclaim,20,0.75,1,0.16666666666666669,1
